trial,direction,speed,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
177,0,1.3044905277734875,32.001,44.001,44.001,24.001,8.0002,8.0002,12,28.001,24.001,12,24.001,20.001,28.001,8.0002,20.001,8.0002,4.0001,16,12,28.001
178,NaN,NaN,4.0001,0,12,4.0001,4.0001,4.0001,0,0,0,0,0,0,4.0001,4.0001,12,0,0,0,0,12
179,180,1.1256764103823331,4,4,4,0,0,0,0,0,0,4,4,0,4,0,0,0,0,4,4,0
180,NaN,NaN,0,0,0,0,0,4.0002,8.0003,0,0,0,0,0,0,4.0002,0,0,0,0,0,0
181,0,1.1256764103823331,44.001,52.001,32.001,20,40.001,24,12,24,20,12,12,4.0001,8.0002,24,28.001,16,24,28.001,32.001,16
182,NaN,NaN,0,0,0,0,8.0002,4.0001,4.0001,12,4.0001,4.0001,0,0,0,0,8.0002,0,0,0,4.0001,16
183,180,1.4348242962684938,4.0001,4.0001,0,4.0001,8.0002,0,0,0,0,0,0,8.0002,0,0,4.0001,8.0002,0,12,8.0002,0
184,NaN,NaN,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,20,0,4,4,8
185,180,1.8997110945711444,0,0,4.0002,0,4.0002,0,0,0,0,0,4.0002,12.001,4.0002,0,0,4.0002,8.0004,0,4.0002,0
186,NaN,NaN,12,0,8.0002,0,4.0001,4.0001,0,4.0001,4.0001,0,0,0,4.0001,4.0001,0,0,0,0,12,12
187,0,0.5236164190543707,16,40.001,48.001,20.001,16,4.0001,8.0002,8.0002,16,8.0002,8.0002,20.001,12,8.0002,24.001,16,28.001,12,16,4.0001
188,NaN,NaN,4.0001,0,8.0002,0,0,8.0002,0,0,0,0,28.001,4.0001,8.0002,12,4.0001,0,0,0,4.0001,0
189,0,1.4348242962684938,31.956,59.918,43.94,27.962,35.951,31.956,31.956,11.984,11.984,15.978,19.973,31.956,7.9891,15.978,3.9945,11.984,23.967,3.9945,7.9891,23.967
190,NaN,NaN,4.0001,12,0,12,4.0001,0,0,0,8.0002,4.0001,0,0,0,0,20.001,12,8.0002,4.0001,4.0001,4.0001
191,180,0.21431389742439963,0,0,0,0,0,4.0001,0,0,0,0,0,0,8.0001,0,4.0001,4.0001,0,0,0,8.0001
192,NaN,NaN,4.0001,0,0,4.0001,0,0,4.0001,4.0001,8.0003,4.0001,0,12,0,0,0,12,12,4.0001,0,0
193,0,-0.6955094722265123,0,4,8,4,0,4,0,0,4,4,0,0,4,0,0,12,8,8,0,0
194,NaN,NaN,0,0,0,16.001,4.0002,0,0,0,0,12,8.0003,0,0,0,8.0003,12,8.0003,8.0003,12,0
195,180,1.3044905277734875,0,4.0001,0,0,0,0,4.0001,4.0001,0,0,0,0,8.0002,8.0002,4.0001,4.0001,8.0002,8.0002,0,0
196,NaN,NaN,0,4.0001,0,4.0001,8.0002,4.0001,4.0001,0,20.001,16,8.0002,4.0001,4.0001,0,0,0,4.0001,16,0,8.0002
197,180,1.7729301728808387,4.0001,4.0001,4.0001,4.0001,4.0001,4.0001,0,4.0001,4.0001,0,4.0001,12,0,8.0002,8.0002,0,4.0001,0,20,4.0001
198,NaN,NaN,0,3.989,3.989,0,15.956,15.956,0,3.989,0,15.956,3.989,0,3.989,0,0,7.978,0,3.989,3.989,3.989
199,180,1.4348242962684938,0,0,0,4,4,0,8.0001,4,16,8.0001,0,4,4,0,12,4,0,0,4,4
200,NaN,NaN,8.0002,4.0001,12,4.0001,0,0,0,0,8.0002,0,0,0,4.0001,4.0001,0,0,4.0001,0,4.0001,4.0001
201,0,-0.4013189010928366,0,12,12,12,0,0,0,4.0002,4.0002,0,0,16.001,8.0003,0,0,4.0002,0,0,4.0002,4.0002
202,NaN,NaN,0,0,0,0,0,0,16,8,0,16,12,8,12,12,8,4,0,0,4,0
203,0,1.4348242962684938,60.003,56.003,44.002,16.001,24.001,36.002,32.002,28.001,12.001,28.001,32.002,12.001,20.001,8.0004,24.001,24.001,12.001,28.001,20.001,16.001
204,NaN,NaN,4.0001,0,4.0001,12,8.0002,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,1.1256764103823331,52.001,16,36.001,24.001,28.001,24.001,28.001,20,16,28.001,32.001,20,12,20,20,32.001,28.001,24.001,8.0002,20
206,NaN,NaN,4.0001,0,0,8.0002,8.0002,0,4.0001,0,0,4.0001,8.0002,0,4.0001,4.0001,0,4.0001,0,0,4.0001,0
207,180,0.21431389742439963,0,8.0001,8.0001,0,4.0001,0,0,4.0001,4.0001,0,0,0,4.0001,4.0001,4.0001,0,0,0,0,4.0001
208,NaN,NaN,4.0001,0,0,0,4.0001,0,20.001,8.0003,4.0001,4.0001,0,4.0001,0,0,0,4.0001,0,0,0,0
209,0,1.3044905277734875,48.001,48.001,24,24,40.001,16,24,24,20,8.0002,28.001,16,16,20,16,16,8.0002,4.0001,8.0002,12
210,NaN,NaN,0,0,0,0,0,0,0,0,4.0001,0,0,0,4.0001,0,8.0002,4.0001,8.0002,0,0,4.0001
211,0,1.7729301728808387,48.001,24,44.001,12,32,8.0001,24,32,8.0001,12,20,24,28,24,8.0001,20,12,8.0001,4.0001,12
212,NaN,NaN,0,4.0001,0,0,0,0,0,4.0001,4.0001,8.0003,12,8.0003,4.0001,0,0,4.0001,0,4.0001,4.0001,4.0001
213,180,1.6254153521544081,0,0,8.0002,0,8.0002,8.0002,4.0001,0,4.0001,8.0002,4.0001,0,0,0,8.0002,4.0001,4.0001,4.0001,4.0001,8.0002
214,NaN,NaN,8.0002,8.0002,4.0001,0,0,0,0,0,4.0001,0,0,0,0,0,8.0002,8.0002,8.0002,0,0,0
215,0,-0.08671609823958155,4.0001,4.0001,12,0,4.0001,8.0002,4.0001,0,8.0002,8.0002,0,4.0001,0,0,0,4.0001,0,4.0001,12,8.0002
216,NaN,NaN,0,0,0,4,4,4,4,0,4,0,7.9999,12,4,16,7.9999,0,0,0,4,0
217,180,-0.08671609823958155,0,0,4.0002,0,0,4.0002,4.0002,16.001,8.0005,4.0002,0,4.0002,8.0005,0,0,0,0,0,12.001,0
218,NaN,NaN,0,8.0002,0,0,12,12,4.0001,4.0001,4.0001,0,4.0001,4.0001,0,8.0002,4.0001,0,4.0001,0,4.0001,4.0001
219,0,0.5236164190543707,16,52.001,32.001,28.001,20,12,0,24,20,24,8.0002,12,40.001,28.001,28.001,20,20,24,16,8.0002
220,NaN,NaN,0,0,0,4.0001,4.0001,0,12,8.0002,0,12,4.0001,0,12,8.0002,4.0001,0,0,4.0001,4.0001,4.0001
221,0,0.21431389742439963,0,4.0001,8.0002,28.001,12,12,8.0002,8.0002,12,8.0002,4.0001,8.0002,24,24,32.001,24,16,4.0001,8.0002,20
222,NaN,NaN,8.0002,16,12,4.0001,4.0001,4.0001,0,4.0001,4.0001,4.0001,4.0001,8.0002,0,4.0001,8.0002,12,16,0,12,0
223,0,0.8205298485235197,20.001,24.001,52.001,36.001,36.001,12,40.001,32.001,24.001,8.0002,4.0001,8.0002,8.0002,28.001,32.001,28.001,4.0001,12,28.001,28.001
224,NaN,NaN,4.0001,0,0,0,4.0001,0,0,12,0,4.0001,0,4.0001,8.0002,4.0001,0,0,8.0002,0,0,4.0001
225,180,-0.6955094722265123,0,4.0001,12,0,8.0002,8.0002,0,12,8.0002,0,8.0002,4.0001,8.0002,12,0,0,4.0001,0,0,0
226,NaN,NaN,8.0002,16,4.0001,0,0,0,0,8.0002,16,0,4.0001,0,8.0002,0,4.0001,0,4.0001,12,4.0001,4.0001
227,180,-0.4013189010928366,4.0001,20,0,0,4.0001,4.0001,0,16,4.0001,8.0002,8.0002,12,4.0001,0,4.0001,0,4.0001,12,0,12
228,NaN,NaN,8.0001,8.0001,4.0001,0,4.0001,4.0001,4.0001,8.0001,4.0001,8.0001,4.0001,0,0,12,4.0001,4.0001,4.0001,0,4.0001,0
229,180,0.5236164190543707,0,4.0001,0,0,12,8.0002,16,0,4.0001,0,4.0001,4.0001,0,0,4.0001,12,8.0002,0,0,4.0001
230,NaN,NaN,4.0001,4.0001,4.0001,20,12,4.0001,4.0001,4.0001,0,0,0,0,0,4.0001,4.0001,0,12,0,4.0001,4.0001
