time,stim,spike
30.739,0,-0.00397
30.74,0,0.00757
30.741,0,0.00122
30.742,0,0.00192
30.743,0,-0.0022
30.744,0,0.004
30.745,0,-1.8e-4
30.746,0,0.00311
30.747,0,0.00174
30.748,0,0.0037200000000000002
30.749,0,0.00797
30.75,0,0.00775
30.751,0,0.00226
30.752,0,-8.9e-4
30.753,0,0.00397
30.754,0,0.00662
30.755,0,0.0076
30.756,0,4e-4
30.757,0,4e-4
30.758,0,0.00433
30.759,0,0.0022
30.76,0,0.00223
30.761,0,6.1e-4
30.762,0,0.00223
30.763,0,-3.7e-4
30.764,0,0.00928
30.765,0,0.00748
30.766,0,0.00391
30.767,0,3.4e-4
30.768,0,0.00143
30.769,0,0.00323
30.77,0,0.00171
30.771,0,-2.1e-4
30.772,0,9.5e-4
30.773,0,0.00439
30.774,0,-0.00409
30.775,0,0.00812
30.776,0,0.00189
30.777,0,0.00214
30.778,0,-0.00229
30.779,0,0.00504
30.78,0,0.00101
30.781,0,0.00632
30.782,0,0.00696
30.783,0,0.0015
30.784,0,-5.5e-4
30.785,0,0.00162
30.786,0,0.00595
30.787,0,8.5e-4
30.788,0,0.00558
30.789,0,0.00156
30.79,0,-0.00177
30.791,0,0.00339
30.792,0,-8.9e-4
30.793,0,-0.00555
30.794,0,-6e-5
30.795,0,2.1e-4
30.796,0,0.00452
30.797,0,-7e-4
30.798,0,0.00644
30.799,0,0.00183
30.8,0,0.00513
30.801,0,0.00531
30.802,0,-0.00415
30.803,0,0.00482
30.804,0,6.1e-4
30.805,0,0.00198
30.806,0,0.00415
30.807,0,9e-5
30.808,0,0.00284
30.809,0,0.00241
30.81,0,0.00198
30.811,0,0.00479
30.812,0,-4e-4
30.813,0,0.00641
30.814,0,0.00671
30.815,0,0.00671
30.816,0,0.00211
30.817,0,0.00275
30.818,0,0.00314
30.819,0,0.00287
30.82,0,0.00153
30.821,0,0.01245
30.822,0,0.00482
30.823,0,0.0018600000000000001
30.824,0,0.00638
30.825,0,0.00162
30.826,0,0.00256
30.827,0,0.00494
30.828,0,0.0061
30.829,0,0.00333
30.83,0,-0.00165
30.831,0,-0.00189
30.832,0,0.00543
30.833,0,0.0036
30.834,0,0.00195
30.835,0,-4.3e-4
30.836,0,0.00378
30.837,0,0.00436
30.838,0,0.00162
30.839,0,0.00345
30.84,0,0.00375
30.841,0,0
30.842,0,0.00546
30.843,0,0.00278
30.844,0,0.00354
30.845,0,0.00278
30.846,0,0.0025
30.847,0,0.00208
30.848,0,0.00256
30.849,0,-7.6e-4
30.85,0,0.00632
30.851,0,0.00555
30.852,0,0.00406
30.853,0,0.00436
30.854,0,0.00494
30.855,0,5.8e-4
30.856,0,0.00208
30.857,0,0.00156
30.858,0,-0.00211
30.859,0,0.00204
30.86,0,0.00604
30.861,0,0.00214
30.862,0,0.0058
30.863,0,0.00571
30.864,0,-2.4e-4
30.865,0,0.00574
30.866,0,0.00204
30.867,0,-0.00208
30.868,0,0.00296
30.869,0,0.00183
30.87,0,0.00403
30.871,0,0.00101
30.872,0,0.00717
